rh_volume_superiorfrontal,lh_volume_rostralmiddlefrontal,lh_volume_superiorfrontal,rh_volume_rostralmiddlefrontal,rh_volume_caudalmiddlefrontal
568.4540971524453,366.5743408203125,442.567114788553,574.6851698776771,432.604541015625
561.478780669284,364.88897705078125,441.6466201561085,587.771171043659,437.35186157226565
563.3752810086818,347.78334045410156,439.0354295813519,572.6859365002863,433.4868530273437
556.3453884235007,376.3914031982422,432.1224657141644,581.2268297918912,428.371923828125
564.5250873014417,365.81573486328125,442.27479486880094,577.5700146905307,424.52500610351564
560.848431449405,370.77537536621094,453.223094995471,575.5169869784651,435.614306640625
564.492460129578,336.39532470703125,434.4268604223279,581.4061758107152,431.9055419921875
560.7955946729362,369.9462890625,445.56622225996375,569.2952209998822,414.24236450195315
561.1387484335486,365.71278381347656,442.8086618616961,587.2314516264817,436.13429565429686
564.9298305621726,372.921875,432.2808837890625,578.0020996619916,435.35341796875
565.7523315958894,393.2334899902344,447.3711623039799,585.5919160514043,432.7670471191406
569.2035312542337,340.9596252441406,433.8295628644418,586.7184861281822,452.6318420410156
563.115757848486,346.9541931152344,451.22911138119906,584.1009303125842,424.9117065429688
564.1535494589392,362.37025451660156,437.0423632635586,598.0221533939756,436.58079833984374
571.1358745773404,362.1722106933594,439.6574370895607,576.6489215719289,427.6464477539063
563.7381474489422,353.781982421875,441.97209587650025,591.190512295427,437.47609252929686
539.5581004412877,351.38673400878906,424.24343252873075,564.1260870571795,434.8551940917969
502.7921075545294,314.1070098876953,403.38631759864694,487.250514589507,411.75523681640624
464.9557069105909,259.73011779785156,371.48996900475544,475.9498262076542,382.2222900390625
457.20996230461697,270.61045837402344,360.0904837345731,443.87214002938106,389.1741455078125
464.64856958113654,285.8336944580078,339.43872844309044,452.4344136468295,375.49647216796876
478.803309093321,298.99000549316406,366.6861603225487,469.2886630091174,391.73870239257815
497.95893745201863,341.3453674316406,372.0838198454484,485.02116749204436,406.3569763183594
515.1199796819963,336.65399169921875,383.08349874745244,495.10756920123924,428.60625
522.1542870846787,315.04820251464844,405.1951170105865,515.4038193801354,397.889599609375
532.5018332597148,347.6911315917969,403.6170189898947,519.1088008222908,434.0835327148437
534.1549544141471,336.8442840576172,412.95773536571556,525.640668408624,418.5107055664063
530.9527081616352,350.9752197265625,405.3459547844486,538.362197612894,424.94837646484376
530.6064417844563,336.13783264160156,409.15765469316125,538.9890105148842,434.3885986328125
528.181313839951,358.71868896484375,416.6922952403193,538.5683088631465,423.65354614257814
529.1926289817501,355.3298645019531,413.3395412279212,545.6731983053273,410.5606384277344
539.8866274618689,342.15283203125,395.4294243411741,545.9203180773504,450.8743103027344
533.0967344603787,332.0571746826172,415.6749170275702,543.1276026758654,414.0195678710937
543.5206526386944,345.5069580078125,411.45427272630775,559.9949222433156,420.95807495117185
552.7707126154376,354.775390625,418.5123003531193,532.5102412782867,435.9825805664062
588.4188527013525,338.9923095703125,393.0190991387851,613.6754873867693,448.9320983886719
580.3626253866736,345.4170379638672,406.98188317340356,602.6761327283136,445.15471801757815
567.111268324659,364.3600769042969,420.9268369812896,577.6231118563948,433.65093383789065
569.4851419967034,342.5362854003906,419.839734505916,588.4350036094928,454.6996643066406
561.0889111998454,343.2843017578125,412.3378884135813,564.5217813952215,447.2158142089844
555.4808406940085,357.419189453125,411.39181164727694,582.6275287496633,428.57191772460936
563.2217270514868,317.0775451660156,407.1586277173913,574.1696664218244,447.00263671875
554.0918908091638,333.65850830078125,418.39557769333106,562.0124017123518,436.25786743164065
558.3882588292822,320.6670379638672,406.8993101258209,580.3625398833176,438.67913208007815
546.5580666602691,330.78924560546875,414.7591910984205,551.821512419602,418.62708740234376
