rh_volume_superiorfrontal,lh_volume_rostralmiddlefrontal,lh_volume_superiorfrontal,rh_volume_rostralmiddlefrontal,rh_volume_caudalmiddlefrontal
246.85318985146787,227.33154509697113,443.08570158715344,92.34950952965437,639.0648040771484
252.840047138185,228.72862935058774,449.0901712716794,90.35428750824678,643.4950561523438
252.06243646879366,226.09225391027218,448.37526310191436,88.53435169426498,604.6207275390625
254.02511826458195,227.75127344899158,451.55950584368526,89.87432897569956,634.4902496337891
249.3804487318535,229.5531361043398,448.55381303675034,89.16018349586692,612.0716857910156
247.42295134110017,229.25571440623523,437.51348869473327,88.62600321410169,612.10791015625
253.21640886870833,227.92715195888545,449.97121133991317,89.01608900021624,633.7655944824219
250.40988487563294,229.6778967896191,436.0671730041504,89.89346407961906,637.2424621582031
252.86019801134347,230.86591614714865,445.55250455818924,89.34857555638746,601.6522979736328
250.1494996525993,227.5202280267499,439.22887156991396,90.23339894842366,619.0497436523438
252.2262903004934,231.38929098023448,437.5601693134682,90.29775090414745,641.6632385253906
252.50031994941727,228.43669761355562,451.0816718082802,91.0307015795964,600.9862213134766
251.85473276202165,226.59798439915127,441.7948093040317,91.87639812816306,631.2218475341797
249.1868130747851,227.43867192135627,454.12240452859913,90.5681737516779,628.7855224609375
251.23250041498733,226.28590511847622,438.3310102948955,89.06242130625495,618.7722320556641
253.7358138792756,229.6567492954292,438.7554207970114,90.32856503674158,620.4134368896484
252.54563242401358,227.02651787738853,441.84334405263263,91.33431707091259,614.1840667724609
253.73925287459585,230.70113091829444,437.61837201959946,89.13564192461817,627.5718688964844
249.88030455287998,231.38077060217046,440.23354188133686,90.26870352436025,612.3415069580078
250.71943045675027,228.99649815237427,440.33837797872576,90.95643230118664,622.5121459960938
253.6396106553584,230.80107152396204,438.36936514985325,89.00303192263013,607.3996887207031
251.6282372319399,227.38292030579518,438.9957107843137,90.07645138962512,633.4823455810547
255.98514378199266,235.1983652654243,448.3557550018909,87.61762192836417,639.4974517822266
252.6061509167506,230.88761821351773,438.75310179766484,87.25017886801731,615.3614501953125
249.7771592126729,230.01476063854076,439.5267326691571,88.0974809757451,623.9332580566406
251.27412877656928,230.24865211416173,433.7009267059027,88.48855624570879,612.560302734375
255.62867771325693,235.96158115291598,442.6981123568965,90.54982709352213,624.4683074951172
249.4361785281695,226.2665218626149,434.60070179957967,89.58917201081897,609.2540130615234
248.97423914089853,228.14684738527396,443.3802983714085,92.99922411911801,646.0541229248047
247.54073236191698,227.34726664188085,439.08857611113905,90.98466608663152,605.1182098388672
247.84345439072678,225.27797219913037,438.14999597212847,91.01976708062324,623.7265930175781
244.93168550880384,229.55725754774846,439.9697525734995,92.64522508817618,632.7259674072266
249.28478093122493,228.25827119964828,437.4128968481924,91.86194151809431,613.3882446289062
247.687770718266,224.1356205582404,433.5523094289443,91.49263764445753,607.4080200195312
248.329096398625,225.03466179862627,436.4802236557007,90.23389271875386,625.4770660400391
249.94390013116788,227.965661524988,442.7460071752761,89.96976723868502,627.5420532226562
255.0833484261825,229.82296932068036,443.44281744489484,90.58688868217745,637.2124938964844
253.24676342581222,228.5779287353547,451.2467736636891,90.31864136232468,600.6901245117188
251.19789392548194,224.26149516668906,457.62448028489655,93.80698523439686,622.0505218505859
253.63996606059325,226.48506388492294,448.23547683042636,89.83999481897537,633.4720458984375
251.9003132401271,229.66422105601202,430.7471836688472,90.58671870388767,616.0239410400391
251.0575700745677,231.53451642468266,454.1356876971675,90.2578572292494,629.1257476806641
254.47816532191197,231.1799634413355,439.97391001383465,89.28698386208457,621.0604400634766
248.65461244813403,229.58829058781214,448.9485724019069,90.60523562975061,622.6866607666016
255.27008299968548,229.59927943343925,435.8748610814412,88.56677911213852,619.0674133300781
