rh_volume_superiorfrontal,lh_volume_rostralmiddlefrontal,lh_volume_superiorfrontal
913.988479614258,604.850789388021,808.48476155599
923.114569091797,592.574890136719,824.204284667969
932.323602294922,603.396504720052,799.590413411458
927.844772338867,594.707804361979,800.586853027344
933.27248840332,605.606160481771,831.452087402344
928.829336547852,607.501261393229,789.486531575521
904.662536621094,601.603230794271,798.936686197917
904.062194824219,594.329956054688,810.363566080729
877.187786865234,637.130167643229,827.832275390625
889.116683959961,612.576619466146,763.530008951823
883.740823364258,602.459818522135,671.723714192708
872.112185668945,622.77773030599,610.011413574219
916.29660949707,610.774759928385,651.920633951823
898.113128662109,614.740681966146,647.086832682292
842.688589477539,604.35585530599,631.076314290365
648.229544067383,534.660420735677,565.701863606771
574.517457580566,434.545867919922,500.548207600911
555.380685424805,452.766835530599,495.423136393229
582.057942199707,490.666178385417,511.71240234375
637.490515136719,551.093414306641,568.144795735677
687.411735534668,559.783121744792,599.65761311849
740.309985351563,582.933878580729,644.279378255208
753.989056396484,583.543579101563,640.186462402344
757.699896240234,597.953857421875,644.95078531901
757.074261474609,540.408477783203,620.584940592448
779.541397094727,578.715901692708,636.127400716146
769.278326416016,566.411417643229,622.682779947917
783.304077148438,567.516337076823,633.743347167969
802.446405029297,583.164947509766,671.018147786458
814.746044921875,579.23817952474,672.0322265625
821.1779296875,589.418334960938,635.352254231771
840.798815917969,589.964599609375,649.809773763021
847.797772216797,606.309529622396,656.821004231771
871.876254272461,589.123087565104,677.057556152344
854.160095214844,579.476603190104,670.860107421875
841.646005249024,594.112935384115,642.059427897135
845.278735351563,578.875427246094,679.40635172526
853.025607299805,581.170104980469,691.581197102865
864.729498291016,594.5107421875,672.104187011719
866.828039550781,558.789123535156,666.571248372396
890.982083129883,600.355631510417,665.445129394531
880.628945922852,579.36875406901,669.652689615885
849.103857421875,580.20741780599,662.575276692708
860.819360351563,598.341125488281,686.0576171875
871.012933349609,583.06483968099,632.717081705729
