rh_volume_superiorfrontal,lh_volume_rostralmiddlefrontal,lh_volume_superiorfrontal,rh_volume_precentral
600.6210574592282,477.88775634765625,413.5668182373047,606.4276665581597
599.4772987607512,474.94932556152344,425.75982666015625,612.1321885850695
600.777031863625,489.81761169433594,426.55426025390625,622.314195421007
602.2044964906124,483.2113800048828,420.3310546875,603.1831393771702
601.3176704306303,462.27718353271484,410.16929626464844,603.2719116210938
604.2029066750737,479.26285552978516,436.7193145751953,616.169921875
603.7777190522297,478.5546073913574,423.66758728027344,616.80029296875
606.7866284887946,476.74963760375977,399.4254455566406,623.1775309244791
606.2653417712825,475.16942977905273,415.31748962402344,605.0115966796875
606.4740076981075,485.7992820739746,436.39637756347656,616.2347276475695
606.3594271224165,470.06172943115234,414.5372619628906,631.1761203342014
607.0352043549879,484.45843505859375,452.13763427734375,609.269517686632
607.1880952787656,472.1944465637207,446.61700439453125,626.7257826063368
607.3831074090192,472.458065032959,457.99595642089844,615.2392374674479
608.3384074151138,481.9281997680664,440.03346252441406,606.5644056532118
606.7730697862467,472.05432510375977,432.64654541015625,616.0428670247396
608.8823916073952,486.25000381469727,411.24302673339844,614.5604587131077
597.5777051638302,493.75846099853516,437.7956085205078,599.1411336263021
574.2152263431186,475.289363861084,405.41087341308594,594.4987318250868
538.7910926926724,443.1044692993164,325.26690673828125,553.6850145128038
512.1346800091324,422.1051330566406,220.1115264892578,546.6360643174913
503.31264687421435,408.3812561035156,162.18869018554688,514.170654296875
513.3789541541164,411.70296478271484,172.33164978027344,544.5801255967882
530.2481482295162,423.2848663330078,141.61419296264648,541.2540011935764
544.5498711722238,423.3148651123047,215.88944244384766,563.2201538085938
554.8643530850757,430.9550094604492,230.8884735107422,575.2707824707031
562.5757567927874,442.7507438659668,284.8849334716797,574.3859151204427
570.4540591860678,442.70529556274414,314.65057373046875,571.3081732855903
575.4992366885627,462.47071838378906,333.26564025878906,567.7463650173611
575.8482953336168,462.6432342529297,337.513671875,588.072499593099
576.4701286327078,451.5247993469238,326.29209899902344,593.7190890842014
573.9214184341171,472.6052436828613,359.6673278808594,572.8591647677952
573.1430734516294,462.7772674560547,337.83929443359375,591.2806125217014
578.1135935232385,457.01806640625,303.56373596191406,590.5980326334635
577.1210572137186,469.3079719543457,340.7142333984375,577.4475877549913
579.6901153237108,467.0548324584961,354.45082092285156,600.5459594726562
579.4385895712791,465.5151596069336,345.9981384277344,596.8368123372396
583.9129915800053,480.49030685424805,357.03675842285156,599.160885281033
584.3362482332242,459.8965148925781,355.80213928222656,591.143286810981
587.7697055840829,464.78661346435547,363.30718994140625,604.4392632378472
587.2021048558391,474.6742706298828,389.53343200683594,602.2475246853298
591.7946646851717,467.15916442871094,389.7218322753906,591.2938096788195
590.7962081142892,464.5091896057129,361.38368225097656,598.7151353624132
591.8313121451569,478.0660095214844,381.2386016845703,605.4306165907118
588.5297765113388,468.02187728881836,353.79136657714844,592.088134765625
