rh_volume_superiorfrontal,lh_volume_rostralmiddlefrontal,lh_volume_superiorfrontal,rh_volume_precentral,rh_volume_rostralmiddlefrontal
737.4050252278646,666.1095971679688,729.1091454547385,748.4823608398438,647.7525657653808
740.7514503115699,661.2324145507813,729.5808715820312,743.5622863769531,650.9736991882324
740.9437633696057,670.3294580078125,734.5960733164911,752.5187683105469,652.9014862060546
740.9213698614211,660.9676489257813,737.7494931428329,740.1840515136719,654.0277450561523
748.1559866768973,677.4089184570313,749.6914712657099,742.0336608886719,659.1162338256836
741.2990652901785,659.7094970703125,737.9041880731997,737.9438781738281,653.0882080078125
737.2920834495908,656.0076708984375,726.8179586659307,742.8274536132812,655.8521202087402
738.7448713030134,661.415615234375,729.3261108398438,746.5302734375,650.9533172607422
740.3019856770833,654.9978344726562,720.9304252292799,737.6627807617188,653.4971076965332
738.9538335890998,654.3779370117187,719.2650796641474,737.4128723144531,646.5252052307129
738.6055582682292,654.6325537109375,730.4290479577106,755.5794982910156,646.8267593383789
743.7464303152901,666.4242407226562,724.6337492569634,745.7817077636719,654.5625480651855
735.9945498511905,664.9777612304688,731.3024862538214,731.47265625,654.9101211547852
739.8303158714658,675.6300244140625,745.3661140773607,737.98876953125,663.0227836608886
742.3598068963913,677.52244140625,748.0262610394021,750.8621520996094,658.5330184936523
744.182680547805,683.6973413085938,745.3854449728261,753.6749877929688,661.1459197998047
742.3955083937872,689.0097924804687,754.3377526324729,766.2704772949219,662.7087982177734
740.2182198660714,684.5462133789063,745.9152606466542,747.0256042480469,661.4785018920899
745.2097249348958,688.2963549804688,758.7688386336616,746.6556701660156,662.5877197265625
752.8243332635789,701.2425903320312,761.0416737432065,742.2267150878906,668.3186737060547
745.8960315522694,691.8131396484375,759.0394990340523,749.9046020507812,661.2452346801758
752.5853905087425,694.0446459960938,756.3965626592221,759.2876281738281,663.500584411621
748.5451468331473,695.1347143554688,764.4763581649116,763.5710144042969,660.517726135254
744.1716668991816,691.2592724609375,756.8806006390115,761.1005249023438,667.7525634765625
737.573351469494,687.9377905273437,754.4323438561481,753.2838439941406,659.4572280883789
738.4355817522321,689.5194091796875,755.0260580311651,748.0344848632812,664.8439147949218
734.4036225818452,686.2930541992188,750.8694723378057,746.0733947753906,660.1050735473633
738.646553548177,687.2891943359375,751.2105102539062,735.3288269042969,660.8902740478516
736.3475696382069,681.2670483398438,747.1848303753396,751.5698547363281,660.2674514770508
741.6599161783854,686.6029956054688,744.6504582944124,734.99560546875,664.2974822998046
747.0420212518601,689.8061865234375,755.1875942064369,739.3032531738281,658.4175964355469
752.5157790411087,684.2161010742187,756.5444787066916,748.2582702636719,662.0239395141601
747.4864484514509,689.4074609375,751.4659198263417,748.3618469238281,663.9121337890625
750.8062459309896,685.8562158203125,761.1425250509511,754.8530578613281,659.5126327514648
748.9649251302084,689.8540649414062,754.702160379161,740.4496765136719,660.5441986083985
749.9621645972842,695.2010913085937,764.8075415569803,743.0086059570312,663.0536880493164
752.5306100027901,694.3513623046875,763.538342019786,757.6897888183594,663.2579391479492
750.6291253952753,697.8740869140624,771.8322050675102,740.6271362304688,663.8052337646484
749.4319800967262,697.887119140625,777.262743079144,757.9703063964844,660.1819580078125
746.8433936709449,689.4213110351562,758.1864823051121,744.1604919433594,663.3014022827149
744.6792962937128,685.5024072265625,759.6874708092731,740.5278625488281,662.9799728393555
738.1301234654018,685.4345263671875,758.1762655506964,746.9543762207031,656.7129028320312
742.3382521856399,696.139248046875,765.8381758980129,749.4882202148438,660.2943748474121
739.8466575985863,683.0515869140625,758.5578785771909,757.6058654785156,660.7253921508789
739.7315051850818,685.045341796875,758.0662138565727,741.748291015625,661.2548400878907
739.3614350818452,692.4049633789062,761.0900003184443,733.9115905761719,659.3195922851562
745.1531308128721,698.8643383789063,763.9823873768682,753.7202453613281,659.3988388061523
738.9209833054315,691.4582666015625,762.4273814325747,746.5494689941406,663.3000503540039
742.9913016183036,692.0134033203125,762.670970087466,738.9170532226562,662.6231384277344
738.1211280459449,684.5989282226562,756.3575718091881,738.0664978027344,659.8620559692383
737.1970400855655,686.5406640625,758.287145199983,732.4939270019531,662.5584320068359
736.6869152250744,688.7796801757812,759.2733048148777,750.0602416992188,656.3346244812012
736.4164730980283,688.7088598632813,759.0654588782269,735.683349609375,662.5570785522461
738.775821358817,684.8253149414063,754.5836367399796,743.047607421875,660.6015800476074
736.4802356538319,680.9644458007813,748.5874461298404,745.4184265136719,658.9418441772461
735.7460071382069,680.7356811523438,751.8422081988791,736.8972778320312,659.3164710998535
737.0012887137277,676.73673828125,748.2650902789572,752.8608703613281,659.8174949645996
740.5221964518229,685.5821118164063,754.360143246858,747.8893737792969,659.5200439453125
740.6510660807292,686.3937109375,754.2156173042629,752.2279663085938,659.3024299621582
737.9862136114211,682.6080932617188,746.7331755264946,746.1764526367188,661.3953918457031
731.4891592843192,685.495244140625,752.7196655273438,746.8616027832031,660.7308280944824
735.1520763578869,678.1340454101562,751.1050720214844,742.3723754882812,655.346549987793
744.1030000232515,686.075029296875,745.7223205566406,745.5333862304688,661.957048034668
740.0143508184524,692.7645678710937,753.4706805685292,751.974609375,656.4008979797363
737.2551292782738,691.5001049804688,758.7220233419667,755.5362854003906,656.465673828125
736.7743815104167,685.0081225585938,759.5208461595619,743.7583923339844,661.526481628418
738.2330990745908,682.2478173828125,753.10290792714,748.8696594238281,660.3474647521973
737.6843755812872,692.5561157226563,753.549560546875,742.303466796875,663.393603515625
739.9284168061756,683.6319750976562,758.6791819696841,744.3131713867188,660.6611343383789
740.3299054827008,692.589072265625,759.773509149966,755.2568054199219,664.3553771972656
732.2550406319755,689.8756298828125,755.3854608950408,753.0906066894531,660.5912033081055
736.1526936848958,682.5705883789062,750.2228393554688,752.4225769042969,661.8756797790527
731.781048874628,682.210888671875,747.4462014903193,744.1482543945312,660.6012771606445
733.6843122209822,678.3152197265625,747.395180080248,748.9984741210938,657.7393249511719
732.3437924339657,685.973583984375,747.0721196713655,750.34716796875,659.6845916748047
731.5131475539434,689.2889184570313,753.4814917522928,743.4024047851562,658.2020278930664
729.3236400785901,687.5180419921875,758.2818789274796,741.6935424804688,658.7705780029297
730.9954084123884,684.9703930664062,754.2427434506624,745.7937622070312,658.5031097412109
729.8504095168341,689.8566186523437,756.5691833496094,741.5938415527344,662.7791397094727
732.2979457310267,687.0800244140624,751.1279243800951,737.8411560058594,657.7584915161133
734.1820449102493,690.955341796875,755.9871176014776,742.778564453125,657.9878143310547
732.379443359375,678.4394970703125,750.4096998131794,747.9514465332031,656.6375427246094
731.3832182384673,687.4845068359375,754.972376284392,742.9812316894531,655.8049270629883
724.1771658761161,686.9292700195313,753.4730702275815,747.4707641601562,654.5273658752442
725.7592863537017,685.6726611328126,752.0176059888756,738.2496337890625,655.7581390380859
728.7909978957404,683.010302734375,751.6226872983186,750.3674011230469,653.0421951293945
733.3648216610864,691.3967163085938,749.9867009701936,747.0656433105469,659.8517921447753
731.1125877743675,692.7819677734375,755.8979041058084,742.3345947265625,657.5616119384765
730.3776561918713,686.428017578125,749.771960714589,740.2994384765625,658.1745162963867
727.9257260277158,685.6785595703125,745.8423077127208,746.3416748046875,655.2602569580079
729.416742234003,684.4801953125,743.9642400326936,742.6842651367188,655.0818405151367
722.4523478190105,680.0730810546875,738.2757117229959,740.5271606445312,655.5808044433594
723.4699032738096,685.0842553710937,743.410740064538,748.3932189941406,652.2270301818847
721.7058093843006,680.043232421875,742.184534487517,736.5707702636719,653.1834869384766
720.4537036714099,683.1048022460938,745.2411074431046,748.0822448730469,655.1369049072266
719.0701032366071,673.6790966796875,738.0893979279891,747.8480224609375,650.1656509399414
720.9458751860119,665.943544921875,729.8775966478431,741.0545349121094,654.1220153808594
724.3670340401786,661.7934814453125,732.3442435886549,755.8182678222656,653.1917053222656
