lh_volume_rostralmiddlefrontal,lh_volume_superiorfrontal,rh_volume_superiorfrontal,rh_volume_rostralmiddlefrontal
533.401171003069,475.672507546165,461.263946533203,597.929927280971
537.831146240234,479.418429287997,448.015555245536,599.863609967913
532.23626273019,474.492151433771,441.651838030134,590.349775913783
533.677481515067,472.156133478338,451.92229788644,601.917932128906
534.483217511858,478.811950683594,450.067208426339,594.238198416574
530.034419468471,468.766937255859,445.890873500279,602.137620326451
531.067101614816,469.945981112393,452.681278773717,601.053056989397
534.48481968471,475.163152521307,445.230006626674,596.807053920201
531.431769234794,464.707980069247,457.703142438616,603.393313162667
537.534107753209,482.509108109908,452.002816336496,590.611325509208
537.567293439593,475.166401256215,442.517630440848,600.775232805525
534.307179042271,469.861455743963,460.174560546875,604.484545898438
536.874795096261,478.83847323331,449.677804129464,598.811993408203
540.956843784877,485.757044011896,448.039520263672,595.082190813337
537.165494646345,472.625868363814,444.635864257813,600.918497140067
536.058513096401,474.86299272017,466.417877197266,598.820142473493
540.075522286551,482.965135054155,456.651489257813,593.282563999721
538.609473092215,480.44990678267,449.640795026507,597.107259695871
540.36697605678,482.107335870916,444.366751534598,587.634981863839
538.274847848075,479.283352938565,460.390764508929,586.497542898996
536.201501028878,482.651428222656,462.219491141183,588.006504603795
532.733677455357,470.075186989524,462.603567940848,589.016588483538
534.686388288225,473.659526478161,455.838697160993,589.214011056083
537.303870064872,476.388397216797,454.983367919922,589.807864815848
546.370871407645,494.162342418324,444.190826416016,588.382237897601
543.874991280692,492.032734264027,455.448303222656,588.17469569615
537.05836050851,474.769545121626,449.404022216797,588.785795375279
533.263597760882,473.503062855114,461.780613490513,587.391542271205
533.598124912807,477.505398837003,457.595533098493,584.741665213449
532.019308907645,481.174849076705,452.4701058524,584.752383858817
533.568740844727,474.053907914595,452.301967075893,582.594065638951
533.406720842634,475.725627552379,458.628849574498,585.656867327009
538.111733572824,482.514534690163,454.154963902065,585.061775425502
540.733385358538,485.605646306818,454.806954520089,582.045425851004
540.020150320871,480.131095192649,457.793936593192,585.109654889788
539.091018676758,483.099892356179,448.671382359096,589.505275181362
537.775072370257,482.196361194957,449.505166190011,589.7021484375
540.542857578823,488.518121892756,453.252567836217,584.682401820592
544.185174124582,489.06010575728,448.207746233259,581.574993896484
545.651105608259,487.532193270597,449.794721330915,587.368802315848
544.021754673549,488.000995982777,450.841360909598,586.490747942243
541.929582868304,492.966300270774,453.79922921317,581.556072998047
537.548987252372,485.778442382813,449.54829624721,581.37069266183
534.267013549805,476.088728471236,445.672049386161,585.344295828683
536.222030639648,478.187491677024,452.933929443359,587.394351632255
536.778475080218,482.33516068892,445.753282819475,584.108462088449
537.579382760184,484.193670099432,448.585889543806,590.766748918806
536.605558122907,487.778253728693,453.252868652344,589.908232770647
533.284994942801,473.78325583718,461.626495361328,595.922131347656
535.59493800572,479.277424205433,454.110469273158,588.184842354911
538.2418082101,487.640810879794,452.40143258231,587.649373953683
536.624982561384,477.612684770064,450.358263288225,582.511983816964
