rh_volume_superiorfrontal,lh_volume_rostralmiddlefrontal,lh_volume_superiorfrontal,rh_volume_rostralmiddlefrontal
818.164484617089,803.9738159179688,820.4577714873524,703.4028481876148
814.7135522666098,810.4678751627604,818.61641544249,699.3421415441177
812.1369013425683,800.5141398111979,818.1738836397001,705.803175982307
814.8916390042345,805.3348795572916,820.015233109637,708.3271412568934
814.7023110269498,805.3134765625,819.6053613802281,704.603364832261
811.3532268620339,806.0594889322916,818.9131266276041,700.0775577320773
812.7874124991794,800.7904256184896,818.5841622701505,697.013136919807
810.3502463973871,798.939697265625,817.6764961180648,700.3833797679227
813.3488348952862,800.0120035807291,820.6421016289936,700.4572197409237
811.4956511168921,796.6790974934896,818.3184377778837,709.6936717313879
812.8767705324317,802.7562459309896,820.2179451298907,712.81982421875
813.7521767496061,803.9563802083334,819.3658498748531,712.7548379337086
815.9305389147846,814.74951171875,819.4254221102086,715.5752078785616
813.2422377642463,807.9936930338541,821.7719519390323,711.4210815429688
812.6247891979057,806.9239298502604,818.549641678973,713.7954765768612
813.5166174624146,812.2591349283854,818.5192547309689,722.3406587488511
814.0051623432577,817.5603434244791,819.494379059086,706.0900627585019
812.3683076746323,813.1025187174479,820.326946103476,693.463633817785
812.9471276547729,809.2010294596354,819.2785706558848,694.1991379681756
813.5592995010504,806.0425821940104,818.6107451276081,708.0811677820542
811.8782235794708,812.6566365559896,818.6133243591805,710.3389407887179
813.2061434192818,807.9603474934896,820.4245751853881,708.34618063534
811.9994886382287,811.0935262044271,818.6877255943732,717.8943194221048
813.2613166360294,814.8903401692709,817.1185751814184,717.2540965360754
811.6526022518383,822.46044921875,818.4596266087477,704.0196640912225
811.3121163504464,817.8364664713541,818.624427671355,696.4123445398667
816.4434963194262,818.4311319986979,820.388807591384,702.2072251263787
814.2578355805213,824.4592081705729,820.2764450941629,700.2300253475414
812.1117138261554,816.9506429036459,816.0290743820067,696.8977912454044
811.6882493475906,811.1929524739584,818.2939383654091,701.3555477366727
813.6771840327928,819.0668131510416,817.2222770752945,706.604648365694
814.0395728359704,816.5800170898438,819.084214621443,702.8169771082261
812.743212788045,818.7296142578125,818.386662615024,697.1923756318934
814.166794720818,824.28662109375,818.631200526788,705.5211971507352
813.5786845744157,817.1130981445312,820.4422124847164,705.8391418457031
814.4115913455225,822.1456502278646,819.0290016236344,708.642438103171
810.5237160049567,817.0509236653646,816.6868539825688,693.5485534667969
812.0775700416885,821.9901529947916,818.2197567079126,680.4130626005285
