rh_volume_superiorfrontal,lh_volume_superiorfrontal,lh_volume_rostralmiddlefrontal
477.846527099609,751.170532226563,440.984387814295
442.342956542969,731.753784179688,441.058015871611
397.418518066406,742.488708496094,437.525084522884
431.580596923828,683.059814453125,436.623225709037
418.742431640625,712.82958984375,436.364888594886
439.076141357422,702.664245605469,436.126260484049
420.356323242188,711.624206542969,437.667109420288
472.613861083984,697.253662109375,436.76709035838
432.82958984375,728.51953125,438.945720241605
431.627410888672,712.922424316406,436.936343934444
427.214691162109,727.546752929688,434.922061399103
426.27490234375,698.252685546875,434.678164142782
449.985015869141,750.470703125,435.06814518586
440.922973632813,715.52734375,435.247152910667
270.852874755859,680.010681152344,437.600311536612
243.372589111328,577.540832519531,428.480999848493
272.647369384766,580.133422851563,395.351261698577
284.035369873047,561.8701171875,340.609810428716
358.274536132813,625.95166015625,325.615252592913
341.219024658203,635.771545410156,344.116301113598
362.060028076172,678.127563476563,369.099843506065
370.750854492188,638.85205078125,398.303877188826
343.109130859375,655.44775390625,406.229435320849
330.342041015625,639.641967773438,415.470447919823
343.19580078125,620.871826171875,422.049519839617
343.142517089844,612.120910644531,427.318498633965
367.071380615234,617.461364746094,423.128597265954
371.291198730469,652.341674804688,421.652701263685
359.844299316406,655.811279296875,418.354983041902
328.724609375,646.678955078125,418.621055667356
358.534729003906,639.86474609375,418.268727757678
346.778594970703,633.712707519531,423.632291951429
356.316101074219,629.2041015625,421.449538952987
375.852600097656,599.883178710938,424.367812106822
376.433380126953,600.216064453125,420.750663512875
348.507202148438,680.28857421875,423.215149646264
358.856628417969,624.529724121094,421.116401144867
342.996063232422,616.68310546875,424.293221073247
342.271667480469,593.510986328125,422.115502600324
367.745086669922,627.906066894531,423.289805317408
363.858001708984,606.480590820313,420.590430737346
342.859832763672,636.817565917969,423.612125544685
341.787261962891,586.087097167969,422.539203817487
334.095428466797,654.26318359375,420.924822390783
373.100860595703,608.071716308594,429.518076853246
