rh_volume_superiorfrontal,lh_volume_rostralmiddlefrontal,lh_volume_superiorfrontal
498.279850260417,560.262445068359,810.941772460938
519.480643717448,572.115441894531,835.901092529297
518.198653157552,574.851379394531,806.039215087891
509.947469075521,559.266131591797,826.745910644531
518.292441813151,576.058215332031,795.745697021484
512.52329305013,565.076373291016,813.488235473633
512.138303629557,566.569720458984,815.300445556641
527.568349202474,577.265966796875,811.041717529297
505.204227701823,577.095556640625,807.622711181641
513.570399983724,568.507800292969,821.462829589844
525.763859049479,576.96162109375,812.956665039063
508.009513346354,587.198864746094,810.635452270508
521.607189941406,562.226470947266,816.786056518555
517.382318115234,576.774816894531,813.389358520508
476.41250406901,587.211364746094,712.051116943359
400.32846883138,492.762628173828,636.158271789551
267.996141560872,408.650592041016,557.37215423584
236.131357828776,360.635968017578,571.540634155273
307.239514160156,374.613327026367,552.394767761231
384.268650309245,456.190100097656,600.560440063477
430.387701416016,493.282342529297,638.539161682129
467.836480712891,512.541467285156,683.573516845703
477.148256429036,534.864361572266,704.984024047852
478.138411458333,549.678155517578,706.834213256836
478.668770345052,547.283477783203,712.074691772461
454.108502197266,541.133483886719,728.371154785156
454.320302327474,527.732659912109,725.075134277344
442.595387776693,523.828942871094,724.535766601563
453.891778564453,523.397985839844,731.182632446289
454.555527750651,513.165026855469,735.010162353516
472.855161539714,529.483746337891,739.75244140625
470.50830078125,539.651013183594,751.757110595703
458.09512125651,524.432440185547,745.999572753906
465.345178222656,527.100384521484,759.104949951172
458.096844482422,527.099688720703,747.236938476563
454.533764648438,512.354431152344,762.233551025391
457.695686848958,523.327264404297,746.111572265625
457.164331054688,527.430816650391,753.582794189453
448.428788248698,534.277404785156,773.049774169922
453.184549967448,551.223944091797,746.264099121094
465.987784830729,536.303594970703,754.430969238281
464.768619791667,548.047790527344,770.173873901367
471.584293619792,538.982135009766,766.568084716797
466.149623616537,546.854437255859,771.320266723633
466.159055582682,550.661608886719,765.641159057617
