rh_volume_superiorfrontal,lh_volume_rostralmiddlefrontal,lh_volume_superiorfrontal,rh_volume_precentral,rh_volume_rostralmiddlefrontal
440.006667051522,543.093812019594,418.993772718642,430.076307650812,430.285593324296
438.733272044651,533.062856366557,432.77921295166,428.836541638403,433.090164659887
437.41999505105,546.278645177041,427.576262580024,424.849849129865,429.196616155247
438.20109306548,542.490529706401,425.750917222765,425.073591403619,429.259839602244
437.693989697625,546.674974010837,431.915922376845,427.287638041788,428.680065664966
438.538088937293,550.063044394216,429.30690934923,428.645224748257,431.048521669232
436.327003006596,556.702303978705,429.732149759928,426.401398618778,430.043210487843
437.143687351569,553.733099168347,427.496498955621,425.522731575423,431.310013240302
438.998014869336,550.271157541583,429.946312798394,427.769843552641,430.616331630517
439.50564330724,549.67244203629,429.171279059516,425.536494820418,431.151539865942
439.149632752126,550.527302403604,430.805129157172,425.430049873398,430.542391797857
438.994286587364,548.29688976657,424.368548075358,422.066608725908,431.237357952912
438.772045773249,551.278880457724,431.562182108561,423.585949926319,432.118862605896
438.925204652013,537.399709393901,427.730399237739,420.341262360533,431.440321457512
438.117262719216,561.617245581842,427.655127631293,425.032115091107,430.311249048768
421.579202427584,547.84669445407,411.758789910211,418.022778905081,421.470620569599
363.846111542669,514.430203345514,381.910859849718,398.223297027771,383.926548572098
317.040620608965,478.790300923009,356.108593410916,338.249603180114,346.408786731577
310.419515615646,462.397073068926,356.844479878743,332.144221688459,329.171324688049
334.653405523153,481.671212473223,380.636596679688,347.806193368878,343.385575426189
365.488627342248,490.926579629221,382.634999593099,366.37987879222,362.740528023415
392.425933318241,516.816717332409,405.049236721463,389.753985376415,384.952663287831
408.65000782072,525.401844639932,411.540327284071,399.219049876322,397.297378858164
418.805362943525,533.076388451361,418.632899814182,408.754175243264,410.221809714689
424.412657894217,544.220952187815,423.224622938368,411.673964631772,413.97583614122
425.288879170137,547.642971900202,426.896826850043,415.306208810407,417.715254876495
422.228433053929,543.01850054341,419.95986005995,411.664442599177,415.492962303658
419.812001739124,551.691720285723,428.502924601237,410.477664056652,414.923637773758
416.298946492812,540.594222530242,413.282497829861,405.717338516327,411.712022176466
416.117264980871,544.611466930759,422.292812771267,409.332927041425,413.383440580501
417.028985002831,547.920176844443,415.7570215861,405.434544911642,411.44570097597
419.175042255744,534.873472152218,424.44933573405,410.445683462177,414.102934761787
420.665685204899,532.068350515058,424.49893951416,410.50325240632,415.547245413935
420.809116304474,541.385608303932,419.154636806912,414.950000511672,415.080208088564
421.36546859505,534.948931294103,420.043381585015,411.981147446318,417.205055983475
423.174835293655,549.266921504851,419.101496378581,414.291723559717,416.295318382699
421.018997452207,545.216043779927,423.056767781576,408.988254935442,415.464599429728
420.851639071485,539.285871936429,421.19482337104,414.970875266069,415.87591796381
421.52886870771,546.118870888987,422.276275634766,407.967382922144,414.7846564077
420.597094391153,550.775111044607,423.406631469727,417.898427814781,414.717379688135
420.318066859762,533.764415125693,424.910125732422,412.327885245135,417.108165925292
422.170058235665,544.642205022996,417.299627516005,411.597842279309,414.515100519827
422.656430666661,547.96134210402,421.588717990451,411.80469316494,418.078503026487
423.145387472383,535.236600814327,418.040385776096,412.451246798395,415.600226321114
422.928938154097,541.334658715033,428.478638543023,414.899173393935,418.978258022059
