rh_volume_superiorfrontal,lh_volume_rostralmiddlefrontal,lh_volume_superiorfrontal,rh_volume_rostralmiddlefrontal
751.5499205259947,760.7213132933838,796.1569618747867,720.9835815429688
744.9281122705958,760.1634925393497,786.9492483887203,705.1183471679688
751.3756559904631,759.6495753696987,792.0602536092567,741.7717895507812
740.0296482395481,758.3299532703707,789.3685074231357,701.0375366210938
748.3207707218937,761.1525051671059,791.1078112999046,722.7506103515625
749.2015266762123,761.8526773258131,791.6733095383099,725.3145751953125
749.2158752991272,764.8491820556347,798.9837597995671,730.27099609375
748.3248603064735,761.8422596944051,794.0912310724343,719.3472290039062
748.4225994946362,764.8332024948651,797.2612426515369,736.6343383789062
747.9901747603316,759.842392608899,791.9017744926142,716.8903198242188
746.174525217967,760.9967400778671,791.8867723603234,708.013427734375
750.4335570922485,761.4642518994903,797.6980338072942,725.6544189453125
749.8767504534563,761.5127137036455,795.2533768139624,734.2401733398438
747.9363176042253,761.5999246622478,794.0679649193924,723.3366088867188
724.2798433504305,756.3781843792204,764.3844381141095,695.9202270507812
654.0676188425974,697.8496414953921,687.3594825994649,637.2810668945312
583.2823547042526,605.2068336367751,601.5933057070962,581.6380615234375
570.9061876589113,567.6160244432245,570.0474054058117,574.8189697265625
590.4511569827885,581.19952729627,593.400850116082,567.7528686523438
626.4124799619566,623.1748430634461,636.7823891511858,584.7136840820312
669.9617521268827,671.2040308738242,687.7242260717943,657.5999755859375
687.336505145282,702.1746407058918,716.4348119983844,635.82421875
706.55801547397,720.8486154288375,736.2762763014853,675.083251953125
714.3673074624918,727.3678787982478,745.4906093442097,693.8801879882812
707.3913225511889,722.903265065792,737.3782825943493,676.0877685546875
708.4840465923687,718.9481865377987,739.9088554799024,677.070068359375
689.5368439728792,713.8869800911087,724.1749456684071,653.4498291015625
701.1329698533983,712.506235697404,731.3147030539641,685.665771484375
695.2631062917166,712.1228240197446,728.6532135464347,669.2840576171875
700.6846377169405,718.3534738419294,737.8453024264717,696.4916381835938
702.0214418520083,720.7487088829672,737.2591101183318,679.825927734375
708.9320251648132,724.6441577851843,745.8715329364371,703.4334716796875
701.2550631228152,722.5631935147105,738.150993157759,660.5946044921875
706.6513573357292,721.8622976717543,745.353019009754,694.9752197265625
700.4559831132402,719.682429740695,737.4006988919361,658.5382690429688
706.648154410514,720.2441136061358,741.4872392277495,685.0304565429688
690.4555419372009,716.0053991384151,732.7709910024361,668.3959350585938
707.8537634314001,719.0193072407186,740.7968678176107,688.1723022460938
690.4023655613621,716.2355845475397,731.2804499666883,671.0701904296875
701.1543318373305,715.6727194539925,735.6989386671231,671.4395751953125
702.4717019570841,721.7960096819489,739.0999185510993,690.8511352539062
724.1149980699694,734.7281891088955,744.9585515527053,689.2444458007812
