rh_volume_superiorfrontal,lh_volume_rostralmiddlefrontal,lh_volume_superiorfrontal,rh_volume_precentral,rh_volume_rostralmiddlefrontal,rh_volume_caudalmiddlefrontal
735.841855446854,706.2442179097758,747.7770413003548,725.5560455322266,656.6880703630119,763.9225830078125
733.3561686015449,705.1614895114651,745.7821750688198,725.4453765869141,656.5000126279633,762.1531494140625
735.9366206010895,703.6889426491477,744.355489347472,723.2108306884766,651.6712520204742,759.6170043945312
730.6258437494527,705.599283193613,745.6040349539102,728.2920684814453,644.5200468918373,760.4010620117188
734.8979044687587,703.8908572506595,745.6878072203832,727.4843902587891,646.3942576441272,758.4726806640625
730.6169471227535,702.9598396598519,742.6941891047854,722.3774261474609,639.0891513166756,756.3445922851563
732.8964879331032,700.8292410714286,742.2249321949394,723.4289916992187,641.915407378098,757.3335571289062
728.2739985855171,699.5294902851056,739.0916835131775,722.7803924560546,635.8432175208783,754.6070556640625
728.2813644751305,701.0553030038809,740.1612744958466,723.0562133789062,636.2836787782867,750.6240844726562
728.3012632361442,697.5163150143313,741.0474996637765,724.8745056152344,643.993494494208,755.0498657226562
727.3536931196136,697.3631778073001,738.9799396524359,725.5191009521484,641.0307869746767,749.97568359375
730.4129136431912,699.3035405146611,742.0047414320575,726.1212036132813,635.0294799804688,752.36005859375
727.7695376135308,698.726908101664,740.7187894532461,725.4547180175781,634.2781340500404,756.23310546875
730.8507385253906,702.8375763335786,741.5732313586819,725.3822601318359,637.5743639715787,752.2692504882813
728.4258698604567,700.0012337820871,742.2122702018795,725.8443359375,637.1632037984914,753.9943115234375
729.7307559984147,700.681329504236,739.4759349586354,723.3156433105469,640.6099790375808,755.7542236328125
725.4281536837865,697.8625032499239,737.0430708286484,719.2346618652343,640.8056872137662,754.5020751953125
728.4129411500666,696.9151048536424,738.4676489439555,725.4415252685546,643.582361681708,753.2595703125
731.6844823178689,698.234379359654,740.2424170255069,721.380126953125,649.663870975889,755.914208984375
726.1881511329001,698.5354534991376,737.4974852909817,719.3542449951171,648.8870176117996,756.217138671875
728.0449603983105,698.8013012378246,739.5248903033159,719.8316619873046,648.5929775895744,758.477587890625
730.5837236755098,699.2686668495079,743.4603765975157,723.9764739990235,641.7084076980065,763.0210693359375
728.1810726285515,698.1916170987216,741.2742048315612,722.5409210205078,636.0405357623922,757.4367309570313
733.0765649085622,696.1486523120434,742.788792461083,722.1157409667969,641.6255893049569,758.2290893554688
729.4127677609567,697.8087812151227,741.1595424150415,718.2051574707032,634.9884748787715,760.2715698242188
727.2201653040044,695.7595837085278,741.6935483870968,718.8616394042969,626.439089018723,760.6670776367188
729.1845749654043,698.7441628196023,742.3480295034556,720.0724639892578,625.0458131987473,758.787060546875
727.2502853325129,700.0578113902699,741.2476138737302,717.647183227539,632.2702805091595,758.1456787109375
726.824751575966,696.5718122209821,738.949939812975,719.1709381103516,635.9492176976697,754.0641479492188
727.6475739757042,695.7954937823407,737.6667122284769,713.4122009277344,632.600683804216,760.3483520507813
