id,time,value
UPENN-GBM-00029_lh_volume_rostralmiddlefrontal,29,462.6432342529297
UPENN-GBM-00029_lh_volume_rostralmiddlefrontal,30,451.5247993469238
UPENN-GBM-00029_lh_volume_rostralmiddlefrontal,31,472.6052436828613
UPENN-GBM-00029_lh_volume_rostralmiddlefrontal,32,462.7772674560547
UPENN-GBM-00029_lh_volume_rostralmiddlefrontal,33,457.01806640625
UPENN-GBM-00029_lh_volume_rostralmiddlefrontal,34,469.3079719543457
UPENN-GBM-00029_lh_volume_rostralmiddlefrontal,35,467.0548324584961
UPENN-GBM-00029_lh_volume_rostralmiddlefrontal,36,465.5151596069336
UPENN-GBM-00029_lh_volume_rostralmiddlefrontal,37,480.4903068542481
UPENN-GBM-00029_lh_volume_rostralmiddlefrontal,38,459.8965148925781
UPENN-GBM-00029_lh_volume_rostralmiddlefrontal,39,464.7866134643554
UPENN-GBM-00029_lh_volume_rostralmiddlefrontal,40,474.6742706298828
UPENN-GBM-00029_lh_volume_rostralmiddlefrontal,41,467.1591644287109
UPENN-GBM-00029_lh_volume_rostralmiddlefrontal,42,464.5091896057129
UPENN-GBM-00029_lh_volume_rostralmiddlefrontal,43,478.0660095214844
UPENN-GBM-00029_lh_volume_rostralmiddlefrontal,44,468.0218772888184
UPENN-GBM-00029_lh_volume_superiorfrontal,0,413.5668182373047
UPENN-GBM-00029_lh_volume_superiorfrontal,1,425.75982666015625
UPENN-GBM-00029_lh_volume_superiorfrontal,2,426.5542602539063
UPENN-GBM-00029_lh_volume_superiorfrontal,3,420.3310546875
UPENN-GBM-00029_lh_volume_superiorfrontal,4,410.1692962646485
UPENN-GBM-00029_lh_volume_superiorfrontal,5,436.7193145751953
UPENN-GBM-00029_lh_volume_superiorfrontal,6,423.66758728027344
UPENN-GBM-00029_lh_volume_superiorfrontal,7,399.4254455566406
UPENN-GBM-00029_lh_volume_superiorfrontal,8,415.3174896240234
UPENN-GBM-00029_lh_volume_superiorfrontal,9,436.39637756347656
UPENN-GBM-00029_lh_volume_superiorfrontal,10,414.5372619628906
