rh_volume_superiorfrontal,lh_volume_rostralmiddlefrontal,lh_volume_superiorfrontal,rh_volume_precentral
918.6315473768447,918.0135842230087,875.7147215850594,854.9287312825521
918.5858605278863,913.7012062933212,874.1186006767805,851.7506306966146
918.4875881618924,920.5690789473684,874.4404959272044,847.6607666015625
918.846735297309,915.160725299577,874.8162744329882,853.0076700846354
917.7029456244575,914.3510145603266,874.5657037306202,851.4251912434896
914.3780310736762,917.9685724014627,875.6063015723413,851.8702189127604
914.1900227864584,919.0189924885456,874.8376537707425,851.6566975911459
912.7035959879557,913.9705691230029,873.7949537646863,857.9379475911459
914.9828358968099,916.0184771315496,873.8360757517261,852.1419270833334
917.5899990505642,916.6417998120301,875.9775937575703,849.4011637369791
918.1073048909506,916.7104914385574,873.5704091153403,851.8214925130209
915.2490003797743,914.38217920289,872.7654405697372,851.58984375
916.5177822536892,916.4184533599624,874.8617552764656,851.4816487630209
917.4516855875651,915.9494408628995,877.2235537979954,849.9012044270834
920.460883585612,915.9200673497709,873.4013210089631,856.0012003580729
920.6172831217448,916.7782253179336,878.3061219681141,852.7320963541666
919.6077616373698,915.4009023107084,877.434732032007,853.33935546875
918.9120513916016,914.1148149303924,876.9389783755753,849.8244222005209
919.7815856933594,911.9078387497063,876.5571489674177,855.8751017252604
920.3454396565755,917.241445899906,879.1185681246972,856.3414306640625
921.0886101616753,916.0526279076598,876.6695656946463,848.4773966471354
917.7625745985243,912.8985526866483,877.9876187583272,853.2253621419271
916.2172797309028,914.227313278313,874.3417349881904,856.8582153320312
917.862164984809,914.4326997914709,876.5864015564438,851.7700805664062
919.4146250406901,916.1602709777374,875.0727705608043,847.0632731119791
919.9698082817926,915.1116296294937,876.7475076838057,852.2879638671875
917.2211195203993,912.7884737172521,876.2160916114038,854.4517822265625
918.1965386284722,912.8207879317434,877.8180858996487,856.4139200846354
917.4234449598524,911.9794540978912,877.4903957159944,854.2625732421875
916.3500766330295,913.9837898885397,876.2539385181989,852.9822184244791
916.3830437554253,914.8462584072486,877.8980005072069,852.2572428385416
914.3777584499783,911.1504626740191,876.6990547594174,849.130859375
915.0465104844835,912.4066451223273,876.7672514686288,850.1698608398438
917.2930185953776,912.9266380367422,878.2268429778343,852.633056640625
918.6374020046658,913.4079892724976,877.8163197598716,854.8936360677084
917.4384728325738,910.6373139575012,875.784914664335,847.6864827473959
918.000153266059,912.0983992268268,875.7883555330972,851.3980712890625
918.4904354519314,917.3205295648789,878.920261779312,854.2907511393229
918.4238942464193,914.8819814122709,878.7590444638747,852.5844930013021
916.4595102945964,916.0161885426456,878.0929969491884,851.2302652994791
921.7513692220052,915.2504176089639,877.8154155879058,855.395263671875
917.067084757487,913.855558696546,879.2592007895772,848.2827962239584
913.9695526123047,913.3943430965109,877.2393720286761,853.9006551106771
914.3938585069444,914.9067401168938,878.8397988962573,852.1059977213541
916.5101925320096,911.7323103596393,877.805729355923,858.2294108072916
916.9703528510199,912.9918313851034,879.3949663502301,854.6759236653646
918.5959798177083,914.0948784620242,877.2440663419029,856.9043986002604
918.0111616346571,914.1058794752996,876.7592547276223,850.2533976236979
919.3725830078125,913.3300037814262,878.3851550198341,851.5312093098959
920.4311462402344,916.5164918827832,879.6781003966812,854.1284383138021
916.910454305013,912.1246553578771,879.8104598171027,851.9168701171875
918.1066857231988,914.4306484595277,879.0992625628331,855.5351359049479
916.5142466227213,914.6522730777139,877.5005205494489,848.4076944986979
918.9644755045573,917.8386652666824,880.6516472868217,849.0572306315104
920.5534569634332,913.6895774898672,879.3424114848292,849.9581502278646
919.5042680528429,915.3304571854441,880.3217086437137,846.2276611328125
923.1227817111545,916.3601904847568,878.8332145750061,851.2243855794271
924.2074028862847,915.6799431133987,881.1356861676356,854.4746907552084
921.419442070855,916.0547366034716,877.523717788578,850.6139119466146
919.2707271999783,917.8738100439086,878.4884375757025,849.0435994466146
919.9808302137587,918.0295919547403,879.4509084302325,852.7758382161459
919.6364064534505,917.9752881042939,879.4278674221778,848.8731892903646
923.6863294813368,915.2514877892975,881.5838694964268,850.4676106770834
925.5145436604818,916.0151270816201,883.4234452595082,849.784912109375
921.6393198649089,916.9132818924753,881.256424967448,851.0708211263021
921.2522857666015,918.7904222531427,880.423138853561,851.4804077148438
924.0372450086805,917.3480187896499,882.2287839904312,850.2841389973959
922.2080223931207,916.8579877122004,882.0238263270652,855.0158284505209
918.5006252712674,918.8435407366071,879.4089771832606,852.9378662109375
