rh_volume_superiorfrontal,lh_volume_rostralmiddlefrontal,lh_volume_superiorfrontal
475.61340409290943,436.15816712269583,463.1791640571926
482.9031684972063,432.81045686923966,468.58622177787447
472.36993755871737,435.0543961063508,465.56483459472656
474.0695545824268,433.3620900800151,464.6817053089971
472.7731056696252,431.0274040819862,464.05827464228094
478.7236644889735,435.0072991858979,471.91247724450153
470.2140039371539,435.73863410070743,467.8586525295092
477.8711810534513,435.5814505722116,471.7678929204526
474.64689114727554,436.0145708075317,469.99083145805025
482.00849393047866,435.9496350266417,471.55576457148015
472.67435503609573,432.08412529026856,470.8572599991508
477.9660119165348,433.17630398658014,481.14781155793565
478.6624821530113,437.22188979469684,476.13576374883235
483.87061319471917,434.4338979413432,480.1218550308891
487.9921222155607,439.38235768964216,477.45945242176884
480.65286795700655,442.0006525417627,483.08378236190134
480.54201536540745,433.5845241282942,475.7695451819378
458.7515880729579,415.12563144666257,448.46081261012864
422.43688887584057,393.29549080984935,421.29024588543433
398.6259479764142,372.67693873814176,392.494967750881
368.03015098088906,355.4954523886404,375.13516749506414
342.01305978509447,332.1518364831599,344.10755771139395
309.15122193928005,311.45107118105557,325.875544672427
294.4784951511818,302.80865499610724,317.9167072461999
298.2925090548358,312.1927978234357,331.65229216865873
304.71807050101364,323.9787226382488,353.27279347958773
313.74064462396166,337.71966468353975,370.2425950091818
329.5130792931665,359.5682993242818,393.9931191154148
339.6309816384617,370.14296458723356,402.686686474344
349.55168711988233,372.8477749450965,401.67558570530105
348.8859936677957,371.4094490719281,404.2553886745287
342.79286657405805,373.8824172481414,405.0603455253269
340.28295666658425,372.9051522813085,397.65025578374446
346.61706118040445,368.9106640090591,396.3215623938519
342.5426788330078,373.3748780000045,398.145275613536
346.20319395427464,371.6731384558612,406.5744698565939
359.11512601828275,376.0956072829286,405.72245622717816
356.64414572413966,380.31378040225826,420.32860316400945
369.65942421442344,384.5586672312653,425.80022612861967
376.67807740803005,388.81956988215995,425.21892912491506
377.59112684032584,390.7959271971531,426.33316919078
379.9383863618102,388.50919676046766,426.91779675691026
386.37016682685174,393.40618889452674,428.6772530597189
390.7610261168661,390.8990235218804,432.1452759452488
391.3449040666411,390.93607741676715,427.7037462980851
