rh_volume_superiorfrontal,lh_volume_rostralmiddlefrontal,lh_volume_superiorfrontal,rh_volume_rostralmiddlefrontal
714.000201120251,624.064983065166,701.179238232699,682.110948007318
737.108191267509,627.178628346277,704.811042698947,700.664465409291
733.008573960628,623.477224683005,707.958209904757,694.171231813069
736.661290912376,625.346163068499,708.7155603929,698.52560849733
747.310043133303,628.27762785412,707.913101196289,697.07462938526
727.632805105873,620.826884920635,705.473182331432,691.393375831314
752.016581665577,626.025223020523,712.491826317527,700.748513523536
727.548020955224,618.348379225958,704.423812866211,689.511257895941
728.296995053732,626.307654971168,696.715885162354,719.316458400292
694.538693734728,615.893768310547,690.223113493486,694.690052660206
623.515771538151,599.634973435175,679.951384977861,621.839663734919
641.059503496481,598.300978887649,666.591934897683,602.167790666411
690.225565233945,614.808474586124,696.772252516313,636.830468286442
670.375611359853,607.100917271205,689.089964259755,625.35762970357
591.994499710688,559.145603240482,626.584403298118,508.414262988899
464.416967366761,464.655908735972,487.507327253168,364.264646119709
359.65271984218,396.511222839355,394.869183670391,339.709594340264
358.216781817869,411.840891035776,403.657458370382,441.083721692049
416.284261249761,455.975712488568,461.501819350503,534.638399148289
494.642258051734,509.462379697769,527.866431106221,584.60730675806
554.859041340026,551.497315785242,582.277492003007,607.911685991891
628.496259277613,574.837255084325,608.712706565857,599.683667919304
659.10213317535,582.402218531048,617.306136824868,582.66870503486
640.551864355146,567.66663542248,595.326038967479,569.126301439503
631.115262439072,566.549001057943,594.134458281777,567.962001365951
630.335706845254,570.730912465898,596.122046470642,572.978803803649
649.886306460208,567.221079266261,612.475996797735,581.752034633975
646.254966574093,582.72739059206,629.917798215693,607.457988111279
668.286615396911,586.513719588991,639.342799273404,599.683253807358
674.450320911828,600.3797859313,650.145472873341,606.657653422295
682.521361498056,596.469326927548,652.539436080239,605.27735881564
672.265743474078,596.691741701156,653.706974376332,600.173193050336
742.943820146737,616.197556510804,673.664198962125,607.711051844343
730.006400036917,611.369655064174,669.061860691417,602.047844609128
727.825736965902,611.624022468688,674.215710900047,606.985185454163
729.316613436796,616.041218106709,676.331994403492,601.877044291436
732.7014503479,616.152239844913,674.288040161133,604.093468774723
724.656180621244,613.891902136424,674.219271139665,604.680184279816
730.567385955004,609.782232133169,672.276709209789,605.204769086234
725.498235500857,609.970588805184,676.113454818726,603.588242542895
725.594353327142,610.804770575629,675.545137232,609.004927236823
717.537377059197,613.448359655956,678.893879717047,599.364339321475
721.091308022386,611.391995868986,675.402552084489,600.277124332476
750.988455616955,623.579126267206,685.958387721669,601.046069181418
726.746748701591,612.653627183702,681.826711481268,599.58624306208
