rh_volume_superiorfrontal,lh_volume_rostralmiddlefrontal,lh_volume_superiorfrontal
485.57603149414064,509.52733357747394,407.00299072265625
500.79278564453125,525.4848022460938,412.7650342668806
491.8865509033203,529.0126953125,409.73001534598217
499.02378234863284,532.9000244140625,406.6793888636998
499.42249450683596,520.3329162597656,407.6681474958147
490.47166137695314,518.6340128580729,415.75621032714844
511.6954711914062,521.1959838867188,406.37125505719865
506.55906982421874,517.9198710123698,398.4008244105748
496.99839782714844,508.54371134440106,400.89788818359375
495.2718444824219,495.0681559244792,401.6775338309152
482.93516845703124,516.3541463216146,414.7248099190848
507.3981140136719,518.1825866699219,402.7512773786272
478.712255859375,525.6763916015625,402.79239327566967
483.05872497558596,508.3278503417969,405.4563467843192
506.0387420654297,532.7010904947916,427.98233904157365
508.4756378173828,550.359364827474,424.2882167271205
501.0773498535156,522.2345479329427,393.2452501569475
498.57995758056643,485.0183410644531,381.72644696916853
446.2099769592285,408.3984883626302,348.8397336687361
388.15991668701173,364.46067301432294,347.5823059082031
369.82310791015624,389.4978535970052,310.87425449916293
388.6288269042969,438.1895751953125,323.73666490827287
382.3661315917969,445.2264709472656,320.6994955880301
394.10154418945314,447.58167521158856,332.23089817592074
424.1955871582031,484.55006917317706,362.3575177873884
423.23932495117185,495.5276590983073,348.0753631591797
427.9529174804687,493.3990987141927,376.3087071010045
438.0843017578125,503.66025797526044,361.6938280378069
447.33924255371096,485.1200663248698,360.2380174909319
456.02044372558595,486.5284729003906,368.2759094238281
458.6167266845703,493.84351603190106,360.77955736432756
451.9080352783203,488.6820780436198,358.8643123081752
456.6015319824219,523.3528442382812,365.49417877197266
488.8144073486328,504.12025960286456,374.8604169573103
490.4286315917969,505.9009094238281,372.6151885986328
477.62339782714844,504.87157185872394,375.8301740373884
493.4648742675781,514.7762959798177,375.0056479317801
490.95660400390625,515.9334513346354,380.87586975097656
502.9310638427734,509.8103332519531,381.68961007254467
495.9188262939453,521.9544372558594,373.2292785644531
510.70810546875,541.0863240559896,375.98010689871654
529.3060974121094,531.3655497233073,357.184323992048
514.7919921875,518.9000040690104,362.70679146902904
533.2817687988281,526.3989461263021,364.59118216378346
500.4984069824219,533.1203002929688,373.88301522391185
