rh_volume_superiorfrontal,lh_volume_rostralmiddlefrontal,lh_volume_superiorfrontal,rh_volume_rostralmiddlefrontal
799.8615710688572,782.6448092074007,748.2640567902596,690.666958618164
800.1700104358149,751.7525230613915,734.1177880071824,669.2257476806641
802.2666027592678,752.9377127982475,731.5827941894531,679.6199879964192
802.0033018822763,759.6305278056377,740.3810552781628,673.7978613959418
800.9256555893842,760.1499600797086,737.0342801001764,679.8166191948785
803.3788859049479,767.5781918087521,743.1607606949344,692.3949564615885
803.7682351505055,772.2330577953442,747.9951733004663,685.3454755995009
800.7162092620251,775.4139041385135,744.2454075967112,683.5779897054036
804.396240234375,773.4720112568623,747.7022577101185,690.214163547092
803.8304814357383,771.6138792295714,746.5202282321069,694.7899502224392
802.8432102577359,770.9935764622044,749.7624216387348,692.254480319553
803.3501562978707,770.3511237067145,741.1905064736643,703.9454352484809
804.8904418945312,783.14614950644,748.3628264396422,696.864214070638
804.5968867283242,781.2477144808382,744.9683749291205,696.3953481038411
801.9230238970588,779.5739325446051,742.2860383064516,702.3611579047309
802.7886627795649,782.219052701383,745.7099058089718,691.3895836724175
802.1621704101562,786.9228243441195,748.5660774477067,692.4206597222222
804.1796240713082,786.225174362595,749.3466855941281,695.030458577474
804.2854997223499,788.5474432867926,753.3266040432837,699.8959628634983
808.9854054170496,794.6110427444046,758.7039263325353,707.9879218207466
804.8468699735754,791.4184644544447,756.3328818044355,694.8792697482639
806.6460308000153,789.5175063674515,748.1937964654738,707.9630784776475
809.3497589709712,785.1667472220756,747.4236115486391,695.9623409695096
803.7770313936121,781.4691887932855,741.4920831495716,697.8572543674045
805.7090071135876,778.2480963629645,737.7392991588962,706.2906745062934
804.9110574161305,778.6613753035261,746.0024670016381,705.2861941867404
804.7685032264859,778.9866712415541,744.6743528304562,699.4715721978082
804.4113171147366,778.9181469066723,741.7270025437878,704.5482123480903
804.7110918830423,783.2089513830236,747.9349621188256,702.5489210340712
808.6935125612745,787.3260860958615,758.0890808105469,703.0103569878472
807.3350423177084,782.0260834565033,757.063469671434,701.3268632676866
804.5820839077819,776.3018468908361,746.0618266444052,703.4888108995226
807.0429472081802,789.4494010306694,753.3613428915701,697.8221459282769
