"","Gene","GSM2193391","GSM2193392","GSM2193395","GSM2193396","GSM2193439","GSM2193440","GSM2193441","GSM2193442","GSM2193488","GSM2193499","GSM2193540","GSM2193544","GSM2193577","GSM2193623","GSM2193653","GSM2193683","GSM2193684","GSM2193686","GSM2193719","GSM2193732","GSM2193733","GSM2193771","GSM2193773","GSM2193774","GSM2193778","GSM2193804","GSM2193823","GSM2193835","GSM2193836","GSM2193849","GSM2193859","GSM2193860","GSM2193861","GSM2193898","GSM2193904","GSM2193917","GSM2193927","GSM2193931","GSM2193933","GSM2193971","GSM2193977","GSM2193978","GSM2193998","GSM2194060","GSM2194077"
"1","AACS",7.4379652426473,7.15255377996893,6.28469802943432,6.39201129394202,6.86799865105117,7.23018891101336,6.36425410571506,6.9931564267621,6.51258869384536,7.04505388154292,6.74806291124533,6.95152030987641,6.99576016509742,6.31123388719427,6.64335870266638,6.41999102894596,6.15269596552641,7.03417698647489,6.11908375930146,6.80671864251074,6.45883862568275,7.45864391070962,6.18558808041698,8.85697996983442,6.70099630537389,6.90640896380065,7.9438704894189,6.98064218889607,6.4364204099164,5.89922469588148,6.74269419540189,6.35631024220978,7.17375032311591,7.53926071000389,6.77367840580104,6.62088126205241,6.45586235065457,6.58187761976826,6.0244630186838,6.50337471856986,6.7273830936787,6.59640089094943,7.14130966543182,6.4876928589895,6.85094393204631
"2","FSTL1",9.02957015528471,10.1207403290143,10.5786547396319,9.38269855819461,7.62851874139711,10.4375730306227,8.88657060927735,10.869677142577,9.49145312389986,10.2248045487618,10.9467911826305,9.57069987933888,10.2574131655107,10.7519386187244,9.4223942292592,9.72389379521243,8.55432958100216,9.72762936565467,9.31587745756762,9.04784764681754,8.8214683350951,9.01078384001155,11.2628998804653,6.8134092571661,9.65427010546619,10.1775335945133,4.80654313214698,10.2862885656077,10.0511256139677,9.84241566386842,9.55533022107513,9.92390104458603,9.35423673531835,9.83282039873568,9.5721934302948,9.29063102362224,9.0059719310602,10.1685370072557,9.9045659949211,10.5248261175838,9.40768411797686,11.6929670408645,9.24982625533394,9.12667407066664,9.85308430710986
"3","ELMO2",7.83634233323493,7.59975113397257,6.76739959280943,6.44881314030505,7.05299002350006,7.95691838977492,7.37622609590282,7.45022594194868,6.5944124285419,6.85013484316725,6.92939811599164,6.08020288092728,7.01162071940032,6.98143253647483,6.92373188375437,7.16688236496474,5.50310377225206,6.60265231680313,5.78954200271999,5.55733842066313,7.31055370725331,7.93605360193381,7.15873402315337,7.66690129922567,6.52125824211645,7.42036029108947,5.77633372855857,7.08223920567666,6.94216609073918,7.38131335593145,6.81910232074817,6.98480383317948,6.69204289680048,7.64579979736865,7.69311639780214,7.68365506009846,6.98792084912971,6.88737198422298,6.99771271034356,6.82148332215678,6.04768276243069,7.94730393971865,7.54993927011651,6.95132091494989,6.72720690707838
"4","CREB3L1",4.37457706789883,5.08250040671563,4.52744658019092,4.67198866926946,4.42463865858407,6.8130700198089,4.98754107713553,4.83389167952064,5.18715631475364,5.03076545830462,4.35468925412198,4.92642684979159,4.91657216795666,4.99429784020379,5.05548435227855,4.51832923014076,4.56957728096968,4.99091727034073,4.53913241800217,4.29089210060807,4.9240355613358,4.51453251555821,4.25158382574684,5.13218826722141,4.85965079836339,4.82811875681737,4.56628623871784,5.295114221831,4.80166317138112,4.12310784868129,4.88050725195262,5.42549073716572,6.02721691038392,5.55326695111565,5.01923082816486,4.24014656642839,4.78318789975517,5.14646923645145,4.72939856618562,4.49802160404853,5.25791075502481,4.38529855345073,4.8603649574754,4.61082367531032,4.30303236426113
"5","RPS11",10.7217351528392,11.1624912133029,10.6430908979324,10.8264708066215,10.9636455143497,10.3155630993883,10.6647420735949,10.8442953567469,10.2297327065324,11.397176764751,10.5093953148157,11.2555902261822,10.7988144881206,10.60325438301,11.4063686475789,10.6728787114175,10.8482671424252,11.3444902934247,10.5618159461328,10.5983350442041,10.4869906283468,10.9334920220675,10.362267319935,10.1693540589554,11.0020408497956,10.7241060982281,10.4946538308022,10.7997126417776,10.2838297759605,10.619437634833,10.4045465138752,10.4253291217275,11.6889639660758,10.5655287483773,10.5761396970012,10.5631170029738,10.5762071801,11.6040348719381,11.0984674723067,10.1972007920984,10.6306305218907,10.9447449417273,10.878345086017,10.1457771667078,10.3781667700556
"6","PNMA1",10.4809633431756,10.1539409988908,9.23176552528535,9.26415965067399,8.87132914633138,11.4177407680995,10.256923608192,9.77757709441662,9.62042792043293,9.70592183293095,9.23076427666124,9.7150769795716,10.0028508894681,9.80550339769037,9.58526458528236,9.07472179097402,8.70503675873812,9.6895361944826,8.16935558829435,9.22181704921926,10.347525133212,9.56511916618286,9.83066664802712,10.6760669361818,9.99997592222796,9.8613234045485,8.4888547635178,10.0117263187414,9.39496790905645,9.99496226993939,9.66240347966908,10.2323992609164,9.78942439278998,10.5397454892119,9.86518350587732,8.99161526105388,9.32132121246779,9.66898071669038,9.52079525952185,9.06103310710513,9.46837918292892,9.3311826597615,9.6227958497506,10.2208847218075,9.06368324785347
"7","MMP2",7.83677070497292,7.92045272045588,7.69401359686783,8.25294516076789,6.48095545672831,8.91899749688778,8.33049978660568,8.59854268504594,8.0119743359074,8.08784495632546,8.03836577657098,8.16091422815464,8.81804165380048,7.95967416359315,8.24118701651314,6.04710626769152,5.63867188682464,8.14031008179657,7.78775562736433,8.2486429286864,7.22635897652778,7.80514822113193,6.91048198090033,5.23633614856585,8.0912555521999,8.22594023425356,3.93296847628986,9.16525680362389,7.24911243975393,7.65339890288088,7.71023049292714,7.99248692906829,8.49207554064963,9.14114030907352,6.6415078307941,6.59072580714275,6.28906469481803,9.4128095073711,7.71745365361194,6.97621317125755,6.97740640982976,7.29697780214878,7.08055472053435,7.9805782172371,7.43839326564476
"8","SAMD4A",5.68613618519246,6.02990828209943,5.10046921431061,5.21404470072676,4.98471006300946,6.00768278199955,5.68128860553906,5.83505712917433,5.6928945907977,5.41217351204044,6.2513513694085,5.66498734164614,5.77760227585541,5.79778182985176,5.44029257645787,4.92369697939939,5.08838097685829,5.98146955570341,5.60855635526698,4.99822964270462,5.65402891043997,5.27303035523013,5.60522550359763,5.28617672662358,5.55752283228958,5.91351198171289,4.93373522203792,6.10705724230933,5.72473210089106,6.17337626900901,5.31466566178631,5.99488210233033,6.07491300478289,6.17879369898753,6.68634684999544,5.16703815710539,4.86128307567165,5.30040479191855,5.3098944336329,5.41990490131389,5.49733949173663,5.18337187348207,5.85233948070913,5.55005321399718,5.06762884031116
"9","SMARCD3",8.5837370052762,8.29719448460712,6.5448227360707,7.90947068689815,9.56037155461856,8.77652670719641,8.26533661952478,7.79446068650185,8.315859219756,9.22837232876621,8.79153781946768,9.38840349333271,8.18716945677741,7.42144041529838,9.24813156095429,9.22888414331493,8.04300658423366,8.28126801180507,8.59527000377723,6.32758210969505,7.2542240319303,9.65966376994849,7.87610209111605,9.80704630303677,9.44792114643846,8.53894706088527,4.11112181701232,8.88488065558392,7.15284370607492,8.21664877231203,8.43720891062734,9.02596528631251,8.64914201935571,8.92287652921774,7.83708092540572,9.74574714584883,8.66755088428724,8.77462410822419,9.47550585484983,8.13983922019514,9.45841136958186,8.87074172684673,9.64956779098885,8.49768338973572,7.6829098468894
"10","A4GNT",4.30694892310829,4.22665031886168,4.46368700415096,4.39118208722304,4.54865742764231,4.05239375415873,4.3659767566788,4.37447730741162,4.64509140433898,4.42310564877138,4.08476184595116,4.49336917115037,4.08337820242733,4.3644897713924,4.52806022348284,4.48406713058995,4.2949997006813,4.43908732717161,4.82604314862061,4.21558158106133,4.59371788710543,4.44784108328092,4.2675183846756,4.57566711150874,4.38843331863848,4.15456102699873,4.50927557652727,4.06956563986681,4.41891856622877,4.56820003359088,4.50428571019862,4.28030408747679,4.20972568607407,4.23902274220028,4.19009337334498,4.30270125124152,4.52098404204538,4.16693644221584,4.6510536625608,4.53652884598006,4.34568813242522,4.58890845817711,4.34961194604413,4.34014281078846,4.35135081083157
